trip_id,duration,start_time,end_time,start_station_id,start_lat,start_lon,end_station_id,end_lat,end_lon,bike_id,plan_duration,trip_route_category,passholder_type
87535955,660,1/1/2017 0:05,1/1/2017 0:16,3046,39.950119,-75.144722,3041,39.968491,-75.13546,5347,30,One Way,Indego30
87535954,2160,1/1/2017 0:21,1/1/2017 0:57,3110,39.96175,-75.136414,3054,39.962502,-75.174202,3364,0,One Way,Walk-up
87535953,2100,1/1/2017 0:22,1/1/2017 0:57,3110,39.96175,-75.136414,3054,39.962502,-75.174202,2536,0,One Way,Walk-up
87535952,720,1/1/2017 0:27,1/1/2017 0:39,3041,39.968491,-75.13546,3005,39.94733,-75.144028,5176,30,One Way,Indego30
87535951,480,1/1/2017 0:28,1/1/2017 0:36,3047,39.95071,-75.149208,3124,39.95295,-75.139793,5370,0,One Way,Walk-up
87535950,420,1/1/2017 0:29,1/1/2017 0:36,3047,39.95071,-75.149208,3124,39.95295,-75.139793,2479,0,One Way,Walk-up
87535949,540,1/1/2017 0:31,1/1/2017 0:40,3072,39.934448,-75.145409,3068,39.93549,-75.167107,5332,30,One Way,Indego30
87535948,960,1/1/2017 0:34,1/1/2017 0:50,3033,39.95005,-75.156723,3114,39.937752,-75.180122,5359,30,One Way,Indego30
87535947,1140,1/1/2017 0:38,1/1/2017 0:57,3013,39.963169,-75.147919,3028,39.940609,-75.149582,3716,0,One Way,Walk-up
87535946,1020,1/1/2017 0:40,1/1/2017 0:57,3013,39.963169,-75.147919,3028,39.940609,-75.149582,2557,0,One Way,Walk-up
87541769,3360,1/1/2017 0:40,1/1/2017 1:36,3124,39.95295,-75.139793,3124,39.95295,-75.139793,11016,0,Round Trip,Walk-up
87541767,3360,1/1/2017 0:41,1/1/2017 1:37,3124,39.95295,-75.139793,3124,39.95295,-75.139793,5351,0,Round Trip,Walk-up
87619087,48300,1/1/2017 0:47,1/1/2017 14:12,3066,39.94561,-75.173477,3066,39.94561,-75.173477,2476,0,Round Trip,Walk-up
87535945,480,1/1/2017 0:49,1/1/2017 0:57,3046,39.950119,-75.144722,3018,39.952728,-75.15979,3296,30,One Way,Indego30
87541765,1200,1/1/2017 0:54,1/1/2017 1:14,3014,39.958858,-75.173691,3034,39.933151,-75.162483,3303,0,One Way,Walk-up
87541764,720,1/1/2017 0:55,1/1/2017 1:07,3055,39.951118,-75.154572,3100,39.927769,-75.151031,5259,30,One Way,Indego30
87541763,420,1/1/2017 0:56,1/1/2017 1:03,3108,39.953159,-75.165512,3060,39.959229,-75.170357,5199,30,One Way,Indego30
87541762,540,1/1/2017 0:56,1/1/2017 1:05,3043,39.93082,-75.174744,3012,39.942181,-75.177467,5187,0,One Way,Walk-up
